sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Check validity of documents;Load luggage;-;-;The airline has implemented this step to ensure efficiency and prevent unnecessary work. It's under their full jurisdiction and can be changed at their discretion.;There's a logical dependency as luggage can't be loaded until it's confirmed the passenger is allowed to travel, which is determined by checking their documents.
Weigh baggage;Cancel check-in;-;-;-;This is a logical dependency. Cancelling the check-in can only occur after the check-in process has begun, which includes weighing the baggage. You cannot cancel a process that hasn't started yet.
Weigh baggage;Process payment;-;-;The airline requires weighing before payment to determine if extra fees are needed for overweight luggage. This is a policy set by the airline that can be changed at their discretion.;-
Weigh baggage;Check-in luggage;The process description states that the law protects workers handling luggage, requiring weighing to ensure it's not over 23 kg. This is reinforced by the additional information that checked-in luggage must be weighed in all cases for safe manual handling limits.;-;-;There's a data dependency as the weight information is necessary for determining overweight status, special handling needs, and contributing to the aircraft's overall weight calculation before check-in can be completed.
Weigh baggage;Load luggage;The process description states that the law protects workers loading heavy luggage, indicating a legal requirement to weigh baggage before loading to ensure it's not over 23 kg. This is a matter of occupational health and safety, typically regulated by governmental bodies.;-;-;There is a data dependency as the weight of the luggage needs to be known before determining whether it can be loaded normally or needs special handling. This information is crucial for the loading process and aircraft weight calculations.
Cancel check-in;Process payment;-;-;The process description states 'after canceling a checkin instance, you should not perform any other activities.' This rule is set by the airline or check-in system, falling under the stakeholders' jurisdiction.;Once a check-in is canceled, processing payment for a non-provided service would create logical inconsistencies and potential legal issues.
Cancel check-in;Check-in luggage;-;-;The process description states, 'Important is that after canceling a checkin instance, you should not perform any other activities.' This indicates a rule established by the airline that can be changed at their discretion.;It's logically impossible to check in luggage for a check-in that has been canceled, creating a logical dependency between these activities.
Cancel check-in;Load luggage;-;-;-;This relationship is governed by logical dependency. If a check-in is cancelled, the luggage associated with that check-in cannot be loaded onto the aircraft. The cancellation terminates the entire process for that passenger, making it impossible for any subsequent activities, including loading luggage, to occur.
Process payment;Check-in luggage;-;-;The airline explicitly requires payment processing before check-in, as stated: 'The airline wants us to only do the check-in if the other things are done to make sure that the payment is processed.' This is a rule set by the airline, which they can change at their discretion.;-
Process payment;Load luggage;-;-;The airline requires payment to be processed before check-in and loading luggage, as stated: 'The airline wants us to only do the check-in if the other things are done to make sure that the payment is processed.' This is a rule under the airline's jurisdiction.;-
Check-in luggage;Load luggage;-;-;The airline explicitly requires check-in to be done before loading to ensure payment processing, which is a rule under their jurisdiction.;The luggage must be checked in (tagged and entered into the system) before it can be identified and properly loaded onto the correct aircraft, creating a logical dependency.
