sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Student accept thesis on Koinon;Start writing thesis;-;-;The order of accepting the thesis on Koinon before starting to write the thesis appears to be an internal procedural requirement of the academic institution, which can be modified at their discretion. The Koinon portal seems to be an administrative platform used by the institution to track and manage thesis processes, and acceptance on the platform is a prerequisite for officially beginning the thesis work.;Data Dependency - The student cannot officially start writing the thesis without first accepting it on the Koinon portal, which serves as a formal registration and tracking mechanism
Student accept thesis on Koinon;Conduct regular catch-up meetings;-;-;The order of accepting the thesis before conducting catch-up meetings is likely an internal organizational process that can be modified at the discretion of the stakeholders. It ensures that the thesis is formally accepted before initiating regular meetings to discuss progress.;Data Dependency - The catch-up meetings would logically require the thesis to be accepted first to have a basis for discussion
Student accept thesis on Koinon;Submit thesis on Koinon;-;-;The order of accepting the thesis before submitting it is a procedural rule set by the organization (university/department) to ensure proper tracking and validation of the thesis process. This is a business rule that can be modified by the stakeholders at their discretion.;Data Dependency - The student cannot submit a thesis on Koinon without first accepting it on the platform
Student accept thesis on Koinon;Present thesis in Colloquium;The context explicitly states that the colloquium is 'mandated by the university's examination regulations' and must happen after thesis submission, which indicates a governmental or institutional legal requirement;-;-;Data dependency - The student cannot present a thesis in a colloquium without first submitting and accepting the thesis
Start writing thesis;Conduct regular catch-up meetings;-;Regular meetings with the supervisor are a common practice in academic research, but not a strict university rule. It is typically done to track progress, provide guidance, and ensure the student is on pace with their thesis development.;-;Data dependency - The student needs to have started working on the thesis to have something meaningful to discuss in the catch-up meetings
Start writing thesis;Submit thesis on Koinon;-;-;The order of starting to write the thesis before submitting it on Koinon is a standard procedural requirement set by the organization, which can be modified at their discretion. The context indicates that students have a four-month period to write and upload their thesis after registration, implying a logical sequence of writing before submission.;Logical Dependency - A thesis cannot be submitted without first being written
Start writing thesis;Present thesis in Colloquium;The examination regulations mandated by the university specify the order of thesis submission and colloquium presentation, making this a governmental law that governs the academic process;-;-;Logical dependency - The thesis must be completed before it can be presented and defended in a colloquium
Conduct regular catch-up meetings;Submit thesis on Koinon;-;Regular catch-up meetings are typically conducted to monitor progress, provide guidance, and ensure the student is on track with thesis development before final submission;-;-
Conduct regular catch-up meetings;Present thesis in Colloquium;-;Regular meetings with the supervisor are recommended to track thesis progress, discuss implementation, and get guidance, but are not legally mandated. These meetings help prepare the student for the eventual colloquium presentation.;-;Data dependency - The student needs to develop and refine the thesis content during these meetings before being ready to present in the colloquium
Submit thesis on Koinon;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted;-;-;-
