sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;The informal meeting is a commonly accepted procedure among supervisors to enhance the effectiveness of the regular meetings, but it is not mandated by any governmental law or university regulation.;-;The ordering is due to a logical dependency, as the student needs to have a foundational understanding of the topic before engaging in regular discussions.
Conduct informal meeting to explain topic;Submit thesis on Koinon;-;-;The informal meeting is a practice under the jurisdiction of the stakeholders to ensure the student understands the topic before formal submission.;The second activity cannot logically precede the first, as the meeting is necessary for topic clarification.
Conduct informal meeting to explain topic;Present thesis in Colloquium;-;-;The informal meeting is a common practice encouraged by supervisors to ensure students are prepared for their thesis presentation, reflecting the expectations of the stakeholders involved.;-
Write and submit proposal;Get registered by chair on Koinon;-;-;The requirement to write a proposal before registration is determined by the chair's discretion and is not mandated by a governmental institution.;-
Write and submit proposal;Student accept thesis on Koinon;-;-;The requirement to write a proposal is determined by the chair and varies by department, indicating it is under the jurisdiction of the stakeholders.;The acceptance of the thesis is logically dependent on the completion of the proposal, as the proposal is necessary for the chair to register the thesis.
Write and submit proposal;Start writing thesis;-;-;The proposal is a requirement set by the chair and is commonly practiced, but not mandated by the university.;-
Write and submit proposal;Conduct regular catch-up meetings;-;The proposal serves as a foundational document that guides the thesis work and discussions in the meetings, making it a common practice among supervisors.;-;The meetings cannot effectively occur without a proposal, as there would be no clear agenda or direction for discussion.
Write and submit proposal;Submit thesis on Koinon;-;-;The requirement to submit a proposal before registering the thesis is determined by the chair's policies and practices, rather than being mandated by a governmental law or being a widely accepted best practice.;The proposal must logically precede the thesis submission because the thesis registration requires information that is typically included in the proposal, creating a logical dependency.
Write and submit proposal;Present thesis in Colloquium;The ordering is mandated by the university's examination regulations, which state that the colloquium must occur after the thesis is submitted.;-;-;-
Get registered by chair on Koinon;Student accept thesis on Koinon;-;-;The registration process is determined by the chair and is not mandated by any governmental law or regulation. It is a procedure established for managing thesis registrations within the Koinon system.;Yes, due to logical dependency.
Get registered by chair on Koinon;Start writing thesis;-;-;The registration is a specific requirement set by the chair and the Koinon system, indicating that it is a rule that the stakeholders must follow.;-
Get registered by chair on Koinon;Conduct regular catch-up meetings;-;-;The registration process is a requirement established by the department for students to proceed with their thesis work, under the jurisdiction of the chair.;The meetings cannot logically occur without the student being registered first, as they would discuss a thesis that is not yet confirmed.
Get registered by chair on Koinon;Submit thesis on Koinon;-;-;The registration process is governed by the policies and procedures of the chair and the Koinon system, which are under the jurisdiction of the stakeholders involved.;The submission of the thesis cannot occur without the prior registration, indicating a logical dependency.
Get registered by chair on Koinon;Present thesis in Colloquium;-;-;The registration process is governed by the chair and university regulations, which require registration before the colloquium presentation.;-
Student accept thesis on Koinon;Start writing thesis;-;-;The requirement to accept the thesis on Koinon before starting to write is determined by the internal processes of the institution and is not mandated by any governmental law or regulation.;The student cannot start writing the thesis without first accepting it on Koinon, indicating a logical dependency.
Student accept thesis on Koinon;Conduct regular catch-up meetings;-;-;The acceptance of the thesis is a procedural requirement that must be fulfilled before the student can engage in further discussions or meetings about their thesis progress.;The ordering is due to a logical dependency; the student cannot conduct meetings about their thesis progress until they have officially accepted the thesis topic.
Student accept thesis on Koinon;Submit thesis on Koinon;-;-;The acceptance of the thesis is a prerequisite for the submission, established by the chair and the university's procedures.;-
Student accept thesis on Koinon;Present thesis in Colloquium;The colloquium must occur after the thesis has been submitted, as mandated by the university's examination regulations.;-;-;Yes, the presentation cannot occur before the thesis is submitted, creating a logical dependency.
Start writing thesis;Conduct regular catch-up meetings;-;The ordering reflects a common approach taken by supervisors to ensure that students are on track with their thesis work before they begin writing, as regular meetings help monitor progress and provide guidance.;-;-
Start writing thesis;Submit thesis on Koinon;-;-;The process is governed by the internal rules of the academic institution regarding thesis submission, which requires writing before submission.;The submission cannot logically occur without the thesis being written first, creating a logical dependency.
Start writing thesis;Present thesis in Colloquium;The examination regulations mandate that the colloquium must occur after the thesis is submitted, enforced by the university.;-;-;-
Conduct regular catch-up meetings;Submit thesis on Koinon;-;Regular catch-up meetings are commonly accepted as a superior method to ensure that the thesis is progressing well and that any issues can be addressed before the formal submission.;-;There is a logical dependency; the submission of the thesis cannot effectively occur without the progress discussions that take place in the catch-up meetings.
Conduct regular catch-up meetings;Present thesis in Colloquium;-;Regular meetings are commonly practiced among supervisors to ensure students are on track, but are not mandated by the university.;-;-
Submit thesis on Koinon;Present thesis in Colloquium;The examination regulations mandate that the colloquium must occur after the thesis submission, indicating it is a requirement enforced by the university.;-;-;-
