sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Conduct informal meeting to explain topic;Start writing thesis;-;The supervisors and students have established a regular weekly or bi-weekly meeting as part of their working routine, which is not mandatory by any governing institution nor industry-wide standard. The frequency and nature of these meetings are determined by the individual supervisors and students, allowing them to adapt to each other's needs and preferences.;-;The relationship between conducting an informal meeting to explain the topic and starting to write the thesis appears to be driven by a logical dependency.
Conduct informal meeting to explain topic;Conduct regular catch-up meetings;-;The supervisor's preference for this sequence may be influenced by their experience and understanding of how to effectively guide students, which is not a mandatory university rule or governmental law.;-;Logical dependency between the two activities: understanding the topic requires some prior knowledge or preparation, which the informal meeting provides.
Conduct informal meeting to explain topic;Submit thesis on Koinon;-;-;The Student Service Center suggests that students come to their consultation hour or write an email asking if it's okay to apply for the thesis in Koinon, indicating that this step is part of the process and can be changed or discarded at the discretion of the stakeholders.;Logical dependency: Conducting an informal meeting to explain the topic allows the student and supervisor to agree on the thesis topic, which in turn enables the advisor to register the thesis on Koinon.
Conduct informal meeting to explain topic;Present thesis in Colloquium;It is mandated by the university's examination regulations that the colloquium must happen after the thesis is submitted.;-;-;The order of Conduct informal meeting to explain topic before Present thesis in Colloquium is likely due to a logical dependency from the first activity.
Write and submit proposal;Get registered by chair on Koinon;-;-;The Student Service Center suggests that students come to their consultation hour or write an email to ask if it's okay to apply for the thesis in Koinon, which implies that this step is required as part of the process. The advisor reviewing the proposal and approving it before registration on Koinon also suggests that this step is a necessary precursor to registration.;The student cannot start working on the thesis and uploading it to Koinon without first having submitted a proposal that has been reviewed by the advisor, due to logical dependency.
Write and submit proposal;Student accept thesis on Koinon;-;-;The requirement for submitting a proposal is dependent on the rules established by the organization or department, which in this case is the Student Service Center. It depends on the chairs, implying that different departments may have varying requirements for proposing and registering thesis.;-
Write and submit proposal;Start writing thesis;-;-;The proposal process seems to be an internal requirement or guideline set by the organization for students to follow.;-
Write and submit proposal;Conduct regular catch-up meetings;-;The supervisors and students mention that having regular meetings with the supervisor is common practice, but it's not a university rule or law. The student also mentions that they chose to have weekly meetings, which suggests that this is an accepted way of doing things within their organization.;-;-
Write and submit proposal;Submit thesis on Koinon;-;-;This order appears to be an internal rule established within the organization for managing the thesis process, not mandated by any governmental law or best practice.;-
Write and submit proposal;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted.;-;-;-
Get registered by chair on Koinon;Student accept thesis on Koinon;-;-;The process of registering a thesis on Koinon requires specific information such as student details, advisor details, and examiner details. The chair's role in this process is to submit this information to register the thesis on Koinon. This is a business rule established by the organization (in this case, the university or department) to ensure that the thesis registration process is properly initiated.;-
Get registered by chair on Koinon;Start writing thesis;-;-;The registration process seems to be controlled by the organization's stakeholders (the Student Service Center and the chair) who have established specific procedures for students to follow.;This is a logical dependency, where the first activity provides necessary information or validation that enables the second activity to begin.
Get registered by chair on Koinon;Conduct regular catch-up meetings;-;-;It appears that the organization (Student Service Center) has established this process to ensure that students are properly registered and approved for thesis submission.;-
Get registered by chair on Koinon;Submit thesis on Koinon;-;-;The process is governed by the organizational rules and procedures specific to the Student Service Center and possibly other departments. The registration of a student via Koinon portal is likely a required step before submitting a thesis, as it seems to be a prerequisite for accessing the online platform and proceeding with the thesis submission process.;-
Get registered by chair on Koinon;Present thesis in Colloquium;The reason is that § 46a Bachelor Colloquium (1) states that students are considered registered for the Bachelor Colloquium once they have successfully completed their Bachelor's Thesis, implying that the registration on Koinon must occur before the presentation of the thesis in the Colloquium.;-;-;The reason is that the registration on Koinon must occur before the presentation of the thesis in the Colloquium because the student's status as registered for the Bachelor Colloquium depends on completing the Bachelor's Thesis, which is a prerequisite governed by a law or regulation.
Student accept thesis on Koinon;Start writing thesis;-;-;The acceptance of the thesis is a necessary step for the student to officially start working on their thesis, and it is done through an online platform (Koinon). This process is not regulated by any governmental law or industry-wide best practice, but rather is governed by the specific rules and procedures established by the organization (in this case, the university).;The student cannot start working on their thesis until they have officially accepted and registered it on Koinon. This is not just a procedural requirement, but rather an essential step in establishing the foundation for the research phase.
Student accept thesis on Koinon;Conduct regular catch-up meetings;-;-;The process of accepting the thesis on Koinon is governed by the rules and procedures established by the organization (in this case, the Student Service Center), which can be changed or updated as needed.;-
Student accept thesis on Koinon;Submit thesis on Koinon;-;-;The process is governed by the organization's (Student Service Center) rules and procedures, which are under their jurisdiction to change or discard.;Yes, it is a logical dependency where accepting the thesis on Koinon registers the student's topic and begins the official research phase, which then allows the student to submit their thesis after four months.
Student accept thesis on Koinon;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted, making it a governmental law.;-;-;The email confirmation process from Koinon serves as a trigger for the colloquium to occur, ensuring that the colloquium cannot occur before the thesis has been submitted and confirmed.
Start writing thesis;Conduct regular catch-up meetings;-;-;The reason for this order is that the student's advisor or supervisor usually has regular meetings with the student to check their progress, but this is not a governmental law or industry-wide best practice. Instead, it is a common procedure followed by supervisors in the organization (the university) to ensure students are on track with their thesis.;The relationship between these two activities is based on logical dependency from the first activity, and it makes sense for the student to start writing their thesis only after they have made significant progress in implementing or developing their idea.
Start writing thesis;Submit thesis on Koinon;-;-;The process begins with the student service center suggesting students come to consultation hours or write an email to apply for the thesis in Koinon, which indicates that the student's registration on Koinon is a required step before starting the research phase. The subsequent steps, including registering the thesis title and information, confirming the thesis via Koinon, and receiving confirmation from the Student Service Center, all support the idea that there are internal rules guiding this process.;-
Start writing thesis;Present thesis in Colloquium;The examination regulations mentioned in the text explicitly state that students may conduct the Bachelor Colloquium before submitting their Bachelor's Thesis.;-;-;logical dependency, as you cannot present a thesis without having written one first.
Conduct regular catch-up meetings;Submit thesis on Koinon;-;-;The Student Service Center suggests that students come for consultation hours or email them before applying for a thesis on Koinon, implying that conducting regular catch-up meetings must occur before submitting the thesis.;-
Conduct regular catch-up meetings;Present thesis in Colloquium;-;-;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted, and the frequency of these meetings is a matter of choice for the student and their supervisor.;-
Submit thesis on Koinon;Present thesis in Colloquium;The university's examination regulations mandate that the colloquium must happen after the thesis is submitted, making it a mandatory sequence.;-;-;Logical dependency
